#SampleID	Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	FT	eid	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	Unnamed: 0	Unnamed: 0.1	avg_daily_flow	biochem_oxygen_dem	collection_date	depth	env_biome	env_feature	env_material	geo_loc_name	host	isolation_source	label	lat_lon	mapfile	precipitation_24hour	publication_title	samp_collect_device	samp_size	samp_vol_we_dna_ext	sample_collection_device_or_method	sample_size	sample_volume_for_DNA_extraction	sewage_type	sewer_system_type	source_material_id	suspend_solids	tot_nitro	tot_phosphorus
SRR6684110	AMPLICON	502	PRJNA433408	SAMN08481986	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660292			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU74	2/7/18	84	50	gut metagenome	ILLUMINA	4/25/18	SRR6684110	SRS2924115	SRP132403	SLM_NIH3_Bv4v5_Steer_PU74	0	0			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU74			
SRR6684109	AMPLICON	502	PRJNA433408	SAMN08481989	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660293			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU82	2/7/18	64	38	gut metagenome	ILLUMINA	4/25/18	SRR6684109	SRS2924116	SRP132403	SLM_NIH3_Bv4v5_Steer_PU82	1	1			2/18/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU82			
SRR6684105	AMPLICON	502	PRJNA433408	SAMN08481985	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660294			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU73	2/7/18	47	29	gut metagenome	ILLUMINA	4/25/18	SRR6684105	SRS2924117	SRP132403	SLM_NIH3_Bv4v5_Steer_PU73	2	2			2/18/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU73			
SRR6684104	AMPLICON	502	PRJNA433408	SAMN08481982	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660295			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Ruminant_PU70_91	2/7/18	46	27	gut metagenome	ILLUMINA	4/25/18	SRR6684104	SRS2924118	SRP132403	SLM_NIH3_Bv4v5_Ruminant_PU70_91	3	3			1/26/15					USA:Wisconsin	ruminant	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Ruminant_PU70_91			
SRR6684106	AMPLICON	502	PRJNA433408	SAMN08481949	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660296			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU90	2/7/18	74	44	gut metagenome	ILLUMINA	4/25/18	SRR6684106	SRS2924119	SRP132403	SLM_NIH3_Bv4v5_Cow_PU90	4	4			2/17/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU90			
SRR6684103	AMPLICON	502	PRJNA433408	SAMN08481948	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660297			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU89	2/7/18	71	41	gut metagenome	ILLUMINA	4/25/18	SRR6684103	SRS2924120	SRP132403	SLM_NIH3_Bv4v5_Cow_PU89	5	5			2/17/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU89			
SRR6684107	AMPLICON	502	PRJNA433408	SAMN08481947	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660298			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU86	2/7/18	68	40	gut metagenome	ILLUMINA	4/25/18	SRR6684107	SRS2924121	SRP132403	SLM_NIH3_Bv4v5_Cow_PU86	6	6			2/17/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU86			
SRR6684102	AMPLICON	502	PRJNA433408	SAMN08481946	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660299			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU85	2/7/18	0	0	gut metagenome	ILLUMINA	4/25/18	SRR6684102	SRS2924122	SRP132403	SLM_NIH3_Bv4v5_Cow_PU85	7	7			2/19/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU85			
SRR6684108	AMPLICON	502	PRJNA433408	SAMN08481945	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660300			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU84	2/7/18	101	59	gut metagenome	ILLUMINA	4/25/18	SRR6684108	SRS2924123	SRP132403	SLM_NIH3_Bv4v5_Cow_PU84	8	8			2/19/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU84			
SRR6684101	AMPLICON	502	PRJNA433408	SAMN08481944	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660301			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU80	2/7/18	79	47	gut metagenome	ILLUMINA	4/25/18	SRR6684101	SRS2924124	SRP132403	SLM_NIH3_Bv4v5_Cow_PU80	9	9			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU80			
